"행정구역","2025년04월_전체","2025년04월_남자","2025년04월_여자","2025년04월_65세이상전체","2025년04월_65세이상남자","2025년04월_65세이상여자","2025년05월_전체","2025년05월_남자","2025년05월_여자","2025년05월_65세이상전체","2025년05월_65세이상남자","2025년05월_65세이상여자","2025년06월_전체","2025년06월_남자","2025년06월_여자","2025년06월_65세이상전체","2025년06월_65세이상남자","2025년06월_65세이상여자","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자","2025년08월_전체","2025년08월_남자","2025년08월_여자","2025년08월_65세이상전체","2025년08월_65세이상남자","2025년08월_65세이상여자","2025년09월_전체","2025년09월_남자","2025년09월_여자","2025년09월_65세이상전체","2025년09월_65세이상남자","2025년09월_65세이상여자","2025년10월_전체","2025년10월_남자","2025년10월_여자","2025년10월_65세이상전체","2025년10월_65세이상남자","2025년10월_65세이상여자"
"경기도 평택시 (4122000000)","600,697","315,374","285,323","84,780","37,934","46,846","601,708","315,862","285,846","85,266","38,153","47,113","602,442","316,193","286,249","85,817","38,418","47,399","603,035","316,426","286,609","86,248","38,626","47,622","604,100","316,843","287,257","86,801","38,888","47,913","605,625","317,623","288,002","87,389","39,208","48,181","607,435","318,534","288,901","88,005","39,477","48,528"
"경기도 평택시 팽성읍(4122025000)","27,370","14,339","13,031","7,433","3,262","4,171","27,326","14,290","13,036","7,443","3,270","4,173","27,328","14,307","13,021","7,488","3,295","4,193","27,262","14,265","12,997","7,511","3,303","4,208","27,199","14,223","12,976","7,527","3,312","4,215","27,106","14,190","12,916","7,531","3,319","4,212","27,023","14,151","12,872","7,548","3,321","4,227"
"경기도 평택시 안중읍(4122025300)","42,934","22,400","20,534","6,032","2,695","3,337","42,848","22,352","20,496","6,055","2,707","3,348","42,805","22,338","20,467","6,092","2,723","3,369","42,758","22,309","20,449","6,115","2,736","3,379","42,764","22,298","20,466","6,141","2,748","3,393","42,479","22,144","20,335","6,188","2,777","3,411","42,106","21,958","20,148","6,213","2,795","3,418"
"경기도 평택시 포승읍(4122025600)","22,479","13,899","8,580","3,733","1,837","1,896","22,489","13,910","8,579","3,747","1,850","1,897","22,446","13,895","8,551","3,773","1,857","1,916","22,434","13,887","8,547","3,795","1,872","1,923","22,417","13,877","8,540","3,808","1,877","1,931","22,281","13,783","8,498","3,834","1,895","1,939","22,037","13,646","8,391","3,841","1,898","1,943"
"경기도 평택시 청북읍(4122025900)","26,207","14,170","12,037","3,284","1,554","1,730","26,258","14,201","12,057","3,314","1,568","1,746","26,292","14,223","12,069","3,335","1,582","1,753","26,315","14,240","12,075","3,347","1,593","1,754","26,306","14,242","12,064","3,374","1,608","1,766","26,249","14,209","12,040","3,399","1,619","1,780","26,144","14,155","11,989","3,416","1,619","1,797"
"경기도 평택시 진위면(4122031000)","10,676","5,969","4,707","2,776","1,326","1,450","10,675","5,970","4,705","2,784","1,327","1,457","10,677","5,977","4,700","2,806","1,340","1,466","10,647","5,962","4,685","2,814","1,343","1,471","10,647","5,968","4,679","2,824","1,348","1,476","10,640","5,962","4,678","2,839","1,355","1,484","10,686","5,987","4,699","2,854","1,357","1,497"
"경기도 평택시 서탄면(4122032000)","3,409","1,896","1,513","1,197","565","632","3,405","1,896","1,509","1,198","566","632","3,396","1,888","1,508","1,200","568","632","3,390","1,880","1,510","1,204","567","637","3,381","1,875","1,506","1,212","572","640","3,368","1,870","1,498","1,218","578","640","3,365","1,864","1,501","1,226","582","644"
"경기도 평택시 고덕면(4122033000)","12,850","6,984","5,866","2,391","1,100","1,291","12,858","7,005","5,853","2,398","1,105","1,293","12,868","7,004","5,864","2,418","1,118","1,300","12,835","6,986","5,849","2,418","1,117","1,301","12,853","6,992","5,861","2,424","1,123","1,301","12,865","7,007","5,858","2,440","1,133","1,307","12,880","7,019","5,861","2,455","1,145","1,310"
"경기도 평택시 오성면(4122034000)","6,176","3,294","2,882","1,973","868","1,105","6,157","3,285","2,872","1,972","866","1,106","6,165","3,287","2,878","1,982","872","1,110","6,126","3,269","2,857","1,986","876","1,110","6,102","3,250","2,852","1,984","873","1,111","6,088","3,241","2,847","2,004","885","1,119","6,050","3,221","2,829","2,003","888","1,115"
"경기도 평택시 현덕면(4122037000)","5,638","3,016","2,622","1,991","913","1,078","5,626","3,023","2,603","1,994","915","1,079","5,655","3,039","2,616","2,006","921","1,085","5,612","3,011","2,601","1,988","912","1,076","5,598","2,992","2,606","1,991","909","1,082","6,725","3,607","3,118","2,034","934","1,100","8,291","4,409","3,882","2,125","972","1,153"
