설치일,시설종류,인덱스,등록일,도로명주소,서비스유형,전화번호,위도,경도
2012-01-03,노인의료복지시설,3885,2025-01-07 17:53,경기도 평택시 팽성읍 두리길 64-1,시설급여제공,031-652-3739,,
2011-09-06,노인의료복지시설,3886,2025-01-07 17:53,경기도 평택시 오성면 길음2길 67-4,시설급여제공,031-408-5787,,
2017-02-01,노인의료복지시설,3887,2025-01-07 17:53,경기도 평택시 고덕면 효학길 35-15,시설급여제공,031-657-1366,,
2017-03-27,노인의료복지시설,3888,2025-01-07 17:53,경기도 평택시 고덕면 동고1길 17-6,시설급여제공,031-655-0351,,
2008-06-19,노인의료복지시설,3889,2025-01-07 17:53,경기도 평택시 안중읍 안중로 69,시설급여제공,031-686-6884,36.9879223,126.9245761
2022-06-24,노인의료복지시설,3890,2025-01-07 17:53,경기도 평택시 안중읍 덕우로 166-4,시설급여제공,031-8054-8115,37.0032175,126.9295477
2014-07-31,노인의료복지시설,3891,2025-01-07 17:53,경기도 평택시 비전6길 8 (비전동),시설급여제공,031-651-0309,,
2019-12-09,노인의료복지시설,3892,2025-01-07 17:53,경기도 평택시 진위면 은산길 56-14,시설급여제공,031-666-9182,,
2012-10-15,노인의료복지시설,3893,2025-01-07 17:53,경기도 평택시 안중읍 행궁길 21,시설급여제공,031-684-1006,36.9765359,126.9164568
2022-02-28,노인의료복지시설,3894,2025-01-07 17:53,경기도 평택시 고덕면 새악길 45-14,시설급여제공,031-668-1171,37.0147913,127.0204556
2022-06-27,노인의료복지시설,3895,2025-01-07 17:53,경기도 평택시 평택5로34번길 43-16 (합정동),시설급여제공,031-654-7700,,
2014-08-22,노인의료복지시설,3896,2025-01-07 17:53,경기도 평택시 통복시장로6번길 18-3 (통복동),시설급여제공,031-652-3524,,
2024-10-01,노인의료복지시설,3897,2025-01-07 17:53,경기도 평택시 안중읍 안중로117번길 17-5,시설급여제공,031-684-5800,36.9892065,126.9283654
2008-05-30,노인의료복지시설,3898,2025-01-07 17:53,경기도 평택시 우곡길 81 (지산동),시설급여제공,031-668-3881,,
2017-05-30,노인의료복지시설,3899,2025-01-07 17:53,경기도 평택시 서정역로 48 (서정동),시설급여제공,031-647-6795,,
2008-06-19,노인의료복지시설,3900,2025-01-07 17:53,경기도 평택시 방여울로 91 (가재동),시설급여제공,031-663-2103,,
2008-09-09,노인의료복지시설,3901,2025-01-07 17:53,경기도 평택시 칠괴길 118-27 (칠괴동),시설급여제공,031-657-4155,,
2009-04-10,노인의료복지시설,3902,2025-01-07 17:53,경기도 평택시 이충로13번길 110 (이충동),시설급여제공,031-668-4152,,
2021-11-01,노인의료복지시설,3903,2025-01-07 17:53,경기도 평택시 신대고잔길 55-14 (신대동),시설급여제공,031-651-3988,,
2015-02-03,노인의료복지시설,3904,2025-01-07 17:53,경기도 평택시 현덕면 현덕로 1095-5,시설급여제공,031-682-3457,36.9515305,126.9380708
2021-01-07,노인의료복지시설,3905,2025-01-07 17:53,경기도 평택시 안중읍 현화1길 23,시설급여제공,031-681-8425,,
2010-03-12,노인의료복지시설,3906,2025-01-07 17:53,"경기도 평택시 진위면 청호길 16 (1,2층)",시설급여제공,031-435-2000,,
2008-06-11,노인의료복지시설,3907,2025-01-07 17:53,경기도 평택시 청북읍 건의길 4-13,시설급여제공,031-663-2211,,
2021-03-09,노인의료복지시설,3908,2025-01-07 17:53,경기도 평택시 탄현로1번길 27 (장당동),시설급여제공,031-8054-7999,,
2017-04-19,노인의료복지시설,3909,2025-01-07 17:53,경기도 평택시 안골길 7 (도일동),시설급여제공,031-666-0739,,
2022-05-30,노인의료복지시설,3910,2025-01-07 17:53,경기도 평택시 현덕면 포승남로 146,시설급여제공,031-682-5000,,
2008-06-03,노인의료복지시설,3911,2025-01-07 17:53,경기도 평택시 진위면 동천2길 45-29,시설급여제공,031-667-4773,,
2020-03-02,노인의료복지시설,3912,2025-01-07 17:53,경기도 평택시 진위면 지산로175번길 220,시설급여제공,031-377-1588,37.0835548,127.0827922
2024-04-01,노인의료복지시설,3913,2025-01-07 17:53,경기도 평택시 진위면 진위서로 121-5,시설급여제공,031-8859-8899,,
2012-12-18,노인의료복지시설,3914,2025-01-07 17:53,경기도 평택시 안중읍 서해로 1141-21,시설급여제공,031-681-8600,36.9737053,126.9330409
2020-12-28,노인의료복지시설,3915,2025-01-07 17:53,경기도 평택시 점촌로13번길 34-1 (서정동),시설급여제공,031-668-9006,,
2014-11-04,노인의료복지시설,3916,2025-01-07 17:53,경기도 평택시 탄현로 399-9 (신장동),시설급여제공,031-665-8200,,
2024-06-01,노인의료복지시설,3917,2025-01-07 17:53,"경기도 평택시 추담로 84, 4층 (이충동)",시설급여제공,031-611-8800,,
2023-03-27,노인의료복지시설,3918,2025-01-07 17:53,경기도 평택시 포승읍 포승향남로 118,시설급여제공,031-682-7089,,
2023-08-01,노인의료복지시설,3919,2025-01-07 17:53,경기도 평택시 비전6로 20 (비전동),시설급여제공,031-616-0007,,
2023-12-01,노인의료복지시설,3920,2025-01-07 17:53,경기도 평택시 죽백1길 56-3 (죽백동),시설급여제공,031-655-5004,,
2022-09-08,노인의료복지시설,3921,2025-01-07 17:53,"경기도 평택시 평택1로9번길 48 (평택동, 만복요양원)",시설급여제공,031-5578-8425,,
2020-02-04,노인의료복지시설,3922,2025-01-07 17:53,"경기도 평택시 중앙1로 경기도 평택시 중앙1로  84 4층 (비전동, 리치빌딩)",시설급여제공,031-652-5909,,
2020-05-08,노인의료복지시설,3923,2025-01-07 17:53,경기도 평택시 지제1길 53-7 (지제동),시설급여제공,031-652-1250,,
2023-08-01,노인의료복지시설,3924,2025-01-07 17:53,"경기도 평택시 중앙1로 84 (비전동, B동 102호)",시설급여제공,031-658-3337,,
2021-12-10,노인의료복지시설,3925,2025-01-07 17:53,"경기도 평택시 안중읍 안현로 429, 5층 501,509-10호",시설급여제공,031-8054-8941,,
2022-12-29,노인의료복지시설,3926,2025-01-07 17:53,경기도 평택시 청북읍 고잔6길 119-57,시설급여제공,031-686-8508,,
2022-03-27,노인의료복지시설,3927,2025-01-07 17:53,경기도 평택시 팽성읍 석봉길 30,시설급여제공,031-651-8993,,
2019-09-19,노인의료복지시설,3928,2025-01-07 17:53,경기도 평택시 송탄공원로 94-2 (지산동),시설급여제공,031-8054-0089,,
