시군명,업체명,소재지도로명주소,소재지지번주소,업종명,위도,경도,데이터기준일
평택시,코스맥스,경기도 평택시 청북읍 고렴산단로 106,경기도 평택시 청북읍 고렴리 1119,사용업,37.057699 ,126.936619 ,2025-02-07
평택시,(주)비텍,경기도 평택시 포승읍 황해희곡3로 130,경기도 평택시 포승읍 희곡리 822,사용업,36.961576 ,126.867256 ,2025-02-07
평택시,(주)서모셋,경기도 평택시 포승읍 석정로 283-5,경기도 평택시 포승읍 석정리 742-6,사용업,37.002133 ,126.877497 ,2025-02-07
평택시,(주)솔리온,경기도 평택시 현덕면 현덕로 529-28,경기도 평택시 현덕면 덕목리 70,제조업,36.947585 ,126.968665 ,2025-02-07
평택시,(주)실버스타인터내션널(지점),경기도 평택시 포승읍 포승남로 366,경기도 평택시 포승읍 방림리 418-4,알선판매업,36.968073 ,126.887251 ,2025-02-07
평택시,(주)위하랑,경기도 평택시 포승읍 평택항로 481+ 지하101호,경기도 평택시 포승읍 원정리 457,알선판매업,36.993663 ,126.843661 ,2025-02-07
평택시,(주)이오엠,경기도 평택시 동막길 27+ 1층(지산동),경기도 평택시 지산동 104-1,알선판매업,37.075691 ,127.091386 ,2025-02-07
평택시,(주)코리아케미칼,경기도 평택시 포승읍 황해희곡4로 47,경기도 평택시 포승읍 희곡리 822-8,제조업,36.959497 ,126.871340 ,2025-02-07
평택시,(주)보스텍경기도지점,경기도 평택시 오성면 죽3리길 8-21,경기도 평택시 오성면 죽리 396-1,제조업+ 사용업,37.007142 ,126.958514 ,2025-02-07
평택시,(주)아이컴포넌트,경기도 평택시 팽성읍 추팔산단1길 23,경기도 평택시 팽성읍 추팔리 390-2,사용업,36.960415 ,127.076900 ,2025-02-07
평택시,나노테크미쿠니(주),경기도 평택시 청북읍 현곡산단로 30,경기도 평택시 청북읍 현곡리 473-2,제조업,37.033764 ,126.940403 ,2025-02-07
평택시,로지켐(주),경기도 평택시 포승읍 서동대로 437-61,경기도 평택시 포승읍 신영리 938-1,운반업,36.936523 ,126.879413 ,2025-02-07
평택시,롯데패키징솔루션즈(주)평택공장,경기도 평택시 산단로16번길43(모곡동),경기도 평택시 모곡동 445,사용업,37.035608 ,127.074879 ,2025-02-07
평택시,만석물류,경기도 평택시 청북읍 청북로 161-14,경기도 평택시 청북읍 현곡리 8-2,보관저장업,37.053439 ,126.946910 ,2025-02-07
평택시,민 하이테크,경기도 평택시 서탄면 수월암길 10 101,경기도 평택시 서탄면 수월암리 619-2,알선판매업,37.120410 ,127.032732 ,2025-02-07
평택시,세븐웰스(주),경기도 평택시 진위면 동천2길 22,경기도 평택시 진위면 동천리 210,알선판매업,37.135165 ,127.108009 ,2025-02-07
평택시,솔믹스(주)장당공장,경기도 평택시 경기대로 1043(장당동),경기도 평택시 장당동 624,사용업,37.040567 ,127.064938 ,2025-02-07
평택시,솔믹스(주)추팔공장,경기도 평택시 팽성읍 추팔산단2길 24,경기도 평택시 팽성읍 추팔리 393-3,사용업,36.958901 ,127.076907 ,2025-02-07
평택시,스마트로지스(주),경기도 평택시 청북읍 광승길 159-46,경기도 평택시 청북읍 현곡리 107-25,보관저장업,37.051848 ,126.943323 ,2025-02-07
평택시,엔피씨로지스(주),경기도 평택시 서탄면 수월암4길 82-30,경기도 평택시 서탄면 수월암리 322,운반업,37.129758 ,127.036484 ,2025-02-07
평택시,와이에스물류(주),경기도 평택시 청북읍 청북로 161-23,경기도 평택시 청북읍 현곡리 9-23,보관저장업,37.053272 ,126.945372 ,2025-02-07
평택시,율촌화학(주)포승공장,경기도 평택시 포승읍 평택항만길 246,경기도 평택시 포승읍 만호리 629,사용업,36.970183 ,126.843960 ,2025-02-07
평택시,케이제이신소재,경기도 평택시 고덕중앙로 320+ 933호(고덕동+ 원희캐슬고덕 지식산업센터),경기도 평택시 고덕동 2045-1+ 933호,알선판매업,37.044366 ,127.055336 ,2025-02-07
평택시,코스맥스아이큐어(주),경기도 평택시 청북읍 고렴산단로 106+ 1동 4층,경기도 평택시 청북읍 고렴리 1119+ 1동 4층,사용업,37.057699 ,126.936619 ,2025-02-07
평택시,티에스케미칼㈜,경기도 평택시 청북읍 드림산단6로 33,경기도 평택시 청북읍 율북리 1119-6,사용업,37.063054 ,126.969524 ,2025-02-07
평택시,평택전담,경기도 평택시 평택2로20번길 18+ 1층(평택동),경기도 평택시 평택동 290-1,판매업,36.992364 ,127.089130 ,2025-02-07
평택시,(주)한탑,경기도 평택시 포승읍 평택항로268번길 165,경기도 평택시 포승읍 도곡리 1216-1번지,사용업,36.983521 ,126.849734 ,2025-02-07
평택시,주식회사 유라코퍼레이션 청북,경기도 평택시 청북읍 청원로 157-23,경기도 평택시 청북읍 토진리 78-5,사용업+ 판매업,37.043381 ,126.949870 ,2025-02-07
평택시,(주)노루페인트포승공장,경기도 평택시 포승읍 평택항로314,경기도 평택시 포승읍 원정리 1173-1번지,사용업,36.985880 ,126.835669 ,2025-02-07
평택시,(주)뉴그린,경기도 평택시 포승읍 포승공단순환로602,경기도 평택시 포승읍 원정리 1204-4번지,사용업,36.986749 ,126.833274 ,2025-02-07
평택시,(주)대동양행,경기도 평택시 청북읍 서해로1985,경기도 평택시 청북읍 고렴리 660-3번지,알선판매업,37.062877 ,126.918264 ,2025-02-07
평택시,(주)덕천물류,경기도 평택시 오성면 양교길246,경기도 평택시 오성면 양교리 738-7번지,보관저장업,37.019037 ,126.959566 ,2025-02-07
평택시,(주)린켐코리아,경기도 평택시 청북읍 원한산길143,경기도 평택시 청북읍 어연리 778-3번지,보관저장업+운반업,37.042492 ,126.973860 ,2025-02-07
평택시,(주)세우인코퍼레이션,경기도 평택시 서탄면 내천길115,경기도 평택시 서탄면 수월암리 1279-1,알선판매업,37.124051 ,127.016447 ,2025-02-07
평택시,(주)씨에스피,경기도 평택시 진위면 마산6로57,경기도 평택시 진위면 마산리 산14-1,알선판매업,37.087915 ,127.101465 ,2025-02-07
