도시코드,도시명,측정장소코드,측정장소명,측정망코드,측정망구분,측정일자,이산화황측정값(ppm),이산화질소측정값(ppm),일산화탄소측정값(ppm),오존측정값(ppm),PM10측정값(㎍/㎥),PM25측정값(㎍/㎥)
1,수원시,131115,천천동,1,도시대기,202508,0.0024,0.0092,0.39,0.0318,25,11
2,성남시,131123,정자동,1,도시대기,202508,0.0024,0.0079,0.42,0.0266,17,11
4,안양시,131144,호계3동,1,도시대기,202508,0.0022,0.007,0.29,0.0332,16,
26,양주시,131562,고읍,1,도시대기,202508,0.0029,0.0058,0.29,0.0333,18,13
5,부천시,831152,내동,1,도시대기,202508,0.0028,0.007,0.3,,14,7
5,부천시,831151,소사본동,1,도시대기,202508,0.0028,0.0087,0.33,0.0329,19,9
5,부천시,831155,송내대로,2,도로변,202508,0.0026,0.0116,0.31,0.024,20,8
5,부천시,831154,오정동,1,도시대기,202508,0.0025,0.0098,0.37,0.031,17,11
5,부천시,831153,중2동,1,도시대기,202508,0.0026,0.0091,0.3,0.0305,19,9
9,안산시,131198,중앙대로,2,도로변,202508,0.0026,0.0123,0.26,0.0238,16,10
9,안산시,131197,호수동,1,도시대기,202508,0.0028,0.0097,0.24,0.0282,23,11
22,안성시,131583,공도읍,1,도시대기,202508,0.0017,0.0068,0.41,0.0282,19,12
22,안성시,131581,봉산동,1,도시대기,202508,0.001,0.0062,0.43,0.0297,16,9
22,안성시,131584,죽산면,1,도시대기,202508,0.0014,0.0058,0.37,0.0269,22,13
4,안양시,131142,부림동,1,도시대기,202508,0.0027,0.0074,,0.0353,21,11
4,안양시,131145,안양2동,1,도시대기,202508,0.0024,0.0046,0.29,0.032,20,7
4,안양시,131141,안양8동,1,도시대기,202508,0.0023,0.0043,0.29,0.0395,17,11
15,시흥시,131232,시화산단,1,도시대기,202508,0.0033,0.0086,0.21,0.0299,27,12
15,시흥시,131235,장현동,1,도시대기,202508,0.0032,0.0084,0.28,0.0325,25,10
15,시흥시,131231,정왕동,1,도시대기,202508,0.0034,0.009,0.29,0.0314,24,14
9,안산시,131191,고잔동,1,도시대기,202508,0.0024,0.0093,0.24,0.0302,20,9
9,안산시,131193,본오동,1,도시대기,202508,0.0023,0.0067,0.36,0.023,22,12
9,안산시,131195,부곡동,1,도시대기,202508,0.0022,0.0126,0.27,0.0244,24,16
9,안산시,131194,원곡동,1,도시대기,202508,0.0022,0.006,0.36,0.0246,23,16
9,안산시,131192,초지동,1,도시대기,202508,0.0036,0.0081,0.24,0.0317,26,18
